Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Species_2,Notes
Federal government restarts effort to restore grizzly bears to Washington’s rugged North Cascades,local article,The Spokesman-Review,Spokane,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DD851A46696350,Grizzly Bear,BW,11/17/22,,,Problem is managers,negative,Wildlife conflicts with recreation,negative,,,,,,,,
North Cascades grizzly plan eyed again,local article,Seattle Times,Seattle,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB992D254F9ED8,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Problem is wildlife,negative,,,,,,,,
Wildlife Advocates Applaud Restart of Process to Return Grizzly Bears to North Cascades,news wire service,Targeted News Service,,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB95DA1EB2F2A0,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Wildlife is increasing,positive,,,,,,,,
Feds resume study of restoring grizzlies to North Cascades,non-profit news agency,Associated Press,NYC,NY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=7&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB51D5EC758BC8,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Problem is development,negative,Problem is managers,negative,Wildlife relocated,positive,,,,
Decision on environmental assessment on Holland Lake Lodge expansion could land soon,local article,Daily Inter Lake,Kalispell,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=7&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DAE94BC2E20598,Grizzly Bear,BW,11/17/22,,,Problem is development,negative,Problem is people,negative,Problem is managers,negative,,,,,,
"Cameras could be key to reducing wildlife collisions, say conservationists",local article,Peace Country Sun,Alberta,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DDCA8DFA1D03A0,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife injury,negative,Problem is development,negative,Wildlife conflicts with recreation,negative,,,,,,
Frisby Ridge caribou closer north of Revelstoke repealed,local article,Revelstoke Time Review,"Revelstoke, British Colombia",Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DDB52E5BA15D40,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife conflicts with recreation,negative,Wildlife conflicts with other wildlife,positive,,,,,,,,
2022 Bear Update,local article,Drayton Valley Western Review,Alberta,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DCC9A701813930,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife conflicts with recreation,negative,,,,,,,,,,
Montana Judge Issues Temporary Order Restricting Wolf Hunting Near Yellowstone and Glacier National Parks,online,Field & Stream,Online,Online,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=3&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DF1CCB145DB6F0,Wolves,IP,11/22/22,BW,12/6/2022,Wildlife is decreasing,negative,Problem is people,negative,Wildlife injury,negative,,,,,,
An Outdoorsman's Jounral,newspaper,Oudoorsman's Journal,Agri-View,WI,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DEDB190A46B4F0,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife conflicts with recreation,negative,,,,,,,,,,
Small pests a big problem for Idaho moose,newspaper,Billings Gazette,,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DF2EEE11AE9898,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife conflicts with other wildlife,negative,,,,,,,,,,
"Grizzly Bear Restoration in Northern Cascades Would Support Local Ecosystems, Key to Recovering Species Nationwide",news wire service,Targeted News Service,,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB933D1D883DE0,Grizzly Bear,BW,11/17/22,,,Wildlife is increasing,positive,,,,,,,,,,
Yellowstone's lead biologist retiring after 28 years,local article,Missoulian,Missoula,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DF30EC322F3E88,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife is increasing,positive,Wildlife relocated,positive,,,,,,,,
COMING ATTRACTIONS - Penguins will return to Roger Williams Zoo. What else might be arriving?,newspaper,Providence Journal,,RI,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=5&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DED571E5162018,Wolves,IP,11/22/22,BW,1/30/2023,Wildlife relocated,positive,,,,,,,,,,
Fat Bear Week's chunky bears are all winners,NA,,,,,,,,,,,,,,,,,,,,,
Wildfires reshape forests and change the behavior of animals that live there,NA,The Conversation,Online,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D3FFB726E67F00,Wolves,IP,11/10/22,BW,12/7/2022,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"""The deer is like Money""",NA,,,,,,,,,,,,,,,,,,,,,
Washington cougars are killing wolves,NA,,,,,,,,,,,,,,,,,,,,,
Wily coyotes outsmart eradication efforts,NA,The Morning Star,"Vernon, British Colombia",Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DDDDD14A0F7C38,Wolves,IP,11/22/22,BW,1/30/2023,,,,,,,,,,,,
Live outdoor Christmas lights sensory experience returns,NA,Bow Valley Crag and Canyon,Alberta,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DD1F19DE1268F8,Wolves,IP,11/22/22,BW,1/30/2023,,,,,,,,,,,,
"New 'nature and nurture' mural welcomes parents, kids to children's area at Chilliwack Library",NA,Chilliwack Progress,British Colombia,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DC0C39390F8B40,Wolves,IP,11/22/22,BW,12/7/2022,,,,,,,,,,,,
"War becoming outdated but instinct to fight hasn't died, The need for institutions that can tame and replace war is greater than ever",NA,The Daily Press,"Timmins, Ontario",Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DBD0DC911F5CA0,Wolves,IP,11/22/22,BW,12/7,,,,,,,,,,,,
NATURE: Playtime is a big time for animals,NA,Journal Inquirer,Manchester,CT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DEF3F2BB3CEAC0,Wolves,IP,11/22/22,BW,1/30/2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Orange county animal services seeks owner of loose pig,newspaper,The Herald Sun,Efland,NC,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A16E8399A13BB1238%2540AWNB-18F85DD2EE817918%25402459983-18F85DDAACE2C869%25402-18F85DDAACE2C869%2540/hlterms%3A%25E2%2580%259CBoars%25E2%2580%259D%252A,Boars,SB,02/07/23,,,Problem is managers,negative,Wildlife conflicts with recreation,Negative,,,,,,,,
"We each need to be ourselves, because everyone else is taken ",NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F714F8A6B36110,Boars,SB,02/07/23,,,,,,,,,,,,,,
SowBridge educational series,NA,,,,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A16F67B6806125A10%2540AWNB-18F26A4B79E0FB01%25402459972-18F4150307792B15%254065-18F4150307792B15%2540/hlterms%3A%25E2%2580%259Cboars%25E2%2580%259D%252A,Boars,SB,02/07/23,,,,,,,,,,,,,,
"This hill country hunter turns feral-hog lard into soap, lip balm and more ",Interview,Texas Monthly,Kerrville ,TX,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18E4DBEE67B1A2E8,Boars,SB,02/07/23,,,Wildlife as resources,positive ,Wildlife causes monetary loss,Negative,,,,,,,,
A few of Cowichan's more heartwarming stories from 2022,local article,Cowichan Valley Citizen,BC,Canada,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F2584031CD7C37A&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18EC0A15E4D0D5D0,Boars,SB,02/07/23,,,Wildlife conflicts with recreation ,negative,Problem is managers,negative,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
https://infoweb.newsbank.com/apps/news/?p=WORLDNEWS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Working to make Vt. a more humane place for wildlife ,local article,Bennington Banner,Bennington,Vermont,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F88C602DCB9E18,Beavers,LP,02/07/23,,,Wildlife conflicts with recreation,negative,Wildlife injury,negative,,,,,,,,
Idaho researchers try to copy beaver dam benefits,local article,East Oregonian,Pendleton,Oregon,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F89C870769CFD8,Beavers,LP,02/07/03,,,Wildlife as resources,negative,,,,,,,,,,
Letter: Giovanni project bad for napa county,local article,Napa Valley Register,Napa,California,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0E1ADD81C09838F5&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F18F892F6637E97F8,Beavers,LP,02/07/23,,,Problem is development,negative,Wildlife is declining,negative,,,,,,,,
